"","total_mov"
"Albany",-2.08243235214314
"Arizona",10.9486155846944
"Arkansas",0.214226840610262
"Baylor",8.39282474182772
"Belmont",-9.45357564740545
"Boise St.",-2.68478612549852
"Buffalo",-1.96519285820587
"Butler",2.42187631247926
"Cincinnati",1.9683994610819
"Coastal Carolina",-6.65100606433084
"Davidson",2.39439354445205
"Dayton",-3.04086136572354
"Duke",12.7374126363527
"Eastern Washington",-0.300975333537664
"Georgetown",2.90166940721409
"Georgia",-0.145459174836486
"Georgia St.",-5.89585207119307
"Gonzaga",9.43238028164564
"Hampton",-14.5789322703552
"Harvard",-7.649794812887
"Indiana",-1.45981484563357
"Iowa",3.40736452723015
"Iowa St.",8.31244378642079
"Kansas",9.13545789367697
"Kentucky",16.2548187761111
"Lafayette",2.75731442038795
"Louisville",11.5030544619053
"LSU",1.01952101839685
"Maryland",1.75298160490572
"Michigan St.",2.67901799671457
"Mississippi",0.577707859074945
"New Mexico St.",-6.20382651480768
"North Carolina",9.28712740822868
"North Carolina St.",3.52523475683174
"North Dakota St.",-13.7230936086509
"North Florida",-5.50540437304559
"Northeastern",-8.21659827096233
"Northern Iowa",2.74468919858242
"Notre Dame",9.01421894714704
"Ohio St.",0.347181775202586
"Oklahoma",9.14546807628159
"Oklahoma St.",3.2093838998602
"Oregon",-4.19772600750561
"Providence",0.752702943570586
"Purdue",-0.679075591040545
"Robert Morris",-14.5031802703959
"San Diego St.",-0.895727441671963
"SMU",-0.0945162724701758
"St. John's",-1.11732021823971
"Stephen F. Austin",-4.78577892740921
"Texas",3.55609969987036
"Texas Southern",-13.9505455495846
"UAB",-9.40878108108624
"UC Irvine",-6.09058738752378
"UCLA",-5.18173211639831
"Utah",-1.05301809040196
"VCU",3.76382109789898
"Villanova",13.14901034661
"Virginia",12.6174190194144
"West Virginia",5.18355216021045
"Wichita St.",2.03875563199253
"Wisconsin",13.4223972032553
"Wofford",-9.71076008932102
"Wyoming",-4.81723304036564
"Xavier",3.93359142254379
